all_recipients,crs_sector_name,flow,flow_class,funding_agency,intent,location_details,latitude,longitude,place_name,usd_defl_2014,year,project_title,recipient_condensed,round_coded
Mauritania,Health,Free-standing technical assistance,ODA-like,"Unspecified Chinese Government Institution, Government Agency",Development,unknown,18.08581,-15.9785,Nouakchott,14300970.89090909,2010,29th medical team to Mauritania to assist local doctors,Mauritania,ChinatoAfrica
Mauritania,Health,Free-standing technical assistance,ODA-like,"Unspecified Chinese Government Institution, Government Agency",Development,unknown,15.15846,-12.1843,Sélibaby,14300970.89090909,2010,29th medical team to Mauritania to assist local doctors,Mauritania,ChinatoAfrica
Mauritania,Health,Free-standing technical assistance,ODA-like,"Unspecified Chinese Government Institution, Government Agency",Development,unknown,16.61659,-11.40453,Kiffa,14300970.89090909,2010,29th medical team to Mauritania to assist local doctors,Mauritania,ChinatoAfrica
Mauritania,Health,Free-standing technical assistance,ODA-like,"Unspecified Chinese Government Institution, Government Agency",Development,unknown,0.0,0.0,Mauritania,14300970.89090909,2010,29th medical team to Mauritania to assist local doctors,Mauritania,ChinatoAfrica
Mauritania,Transport and Storage,Loan (excluding debt rescheduling),ODA-like,"Export-Import Bank of China, Government Agency",Development,Nouakchott,18.08581,-15.9785,Nouakchott,396886331.0,2008,China issues 2 billion yuan loan to fund Port of Friendship expansion project in Mauritania,Mauritania,ChinatoAfrica
Angola,Emergency Response,Grant,ODA-like,"Unspecified Chinese Government Institution, Government Agency",Development,Bie Province,-12.34989,17.3031,Província do Bié,1364094.0,2001,"China grants $600,000 USD in food aid for flood victims",Angola,ChinatoAfrica
Angola,Government and Civil Society,Grant,ODA-like,"Unspecified Chinese Government Institution, Government Agency",Development,unknown,-8.83682,13.23432,Luanda,17190664.903614458,2001,Computers and Sewing Machines,Angola,ChinatoAfrica
Algeria,Communications,Loan (excluding debt rescheduling),OOF-like,"Industrial and Commercial Bank of China (ICBC), State-Owned Company",Commercial,Nationwide,36.75,4.25,Tizi Ouzou,103366330.93470791,2003,ICBC and European financial institution fund $32 million telecommunications construction and supply project,Algeria,AdditionalCoded
Algeria,Communications,Loan (excluding debt rescheduling),OOF-like,"Industrial and Commercial Bank of China (ICBC), State-Owned Company",Commercial,Nationwide,36.25,3.91667,Bouira,103366330.93470791,2003,ICBC and European financial institution fund $32 million telecommunications construction and supply project,Algeria,AdditionalCoded
Algeria,Communications,Loan (excluding debt rescheduling),OOF-like,"Industrial and Commercial Bank of China (ICBC), State-Owned Company",Commercial,Nationwide,36.66667,4.91667,Béjaïa,103366330.93470791,2003,ICBC and European financial institution fund $32 million telecommunications construction and supply project,Algeria,AdditionalCoded
Botswana,Other Social infrastructure and services,Loan (excluding debt rescheduling),ODA-like,"Unspecified Chinese Government Institution, Government Agency",Development,"Maun, Jwaneng, Gaborone, Lobatse, Francistown and Gaborone",-24.60166,24.7281,Jwaneng,51378371.0,2004,China loans 117 million BWP for medium and low cost houses,Botswana,ChinatoAfrica
Botswana,Other Social infrastructure and services,Loan (excluding debt rescheduling),ODA-like,"Unspecified Chinese Government Institution, Government Agency",Development,"Maun, Jwaneng, Gaborone, Lobatse, Francistown and Gaborone",-25.22435,25.67728,Lobatse,51378371.0,2004,China loans 117 million BWP for medium and low cost houses,Botswana,ChinatoAfrica
Botswana,Other Social infrastructure and services,Loan (excluding debt rescheduling),ODA-like,"Unspecified Chinese Government Institution, Government Agency",Development,"Maun, Jwaneng, Gaborone, Lobatse, Francistown and Gaborone",-24.65451,25.90859,Gaborone,51378371.0,2004,China loans 117 million BWP for medium and low cost houses,Botswana,ChinatoAfrica
Botswana,Other Social infrastructure and services,Loan (excluding debt rescheduling),ODA-like,"Unspecified Chinese Government Institution, Government Agency",Development,"Maun, Jwaneng, Gaborone, Lobatse, Francistown and Gaborone",-19.98333,23.41667,Maun,51378371.0,2004,China loans 117 million BWP for medium and low cost houses,Botswana,ChinatoAfrica
Botswana,Other Social infrastructure and services,Loan (excluding debt rescheduling),ODA-like,"Unspecified Chinese Government Institution, Government Agency",Development,"Maun, Jwaneng, Gaborone, Lobatse, Francistown and Gaborone",-21.16995,27.50788,Francistown,51378371.0,2004,China loans 117 million BWP for medium and low cost houses,Botswana,ChinatoAfrica
Botswana,Other Social infrastructure and services,Loan (excluding debt rescheduling),ODA-like,"Unspecified Chinese Government Institution, Government Agency",Development,"Maun, Jwaneng, Gaborone, Lobatse, Francistown and Gaborone",-24.76234,25.7995,Gaborone,51378371.0,2004,China loans 117 million BWP for medium and low cost houses,Botswana,ChinatoAfrica
Botswana,Other Social infrastructure and services,Loan (excluding debt rescheduling),ODA-like,"Unspecified Chinese Government Institution, Government Agency",Development,"Maun, Jwaneng, Gaborone, Lobatse, Francistown and Gaborone",-22.51958,27.47254,Palapye,51378371.0,2004,China loans 117 million BWP for medium and low cost houses,Botswana,ChinatoAfrica
Botswana,Other Social infrastructure and services,Loan (excluding debt rescheduling),Vague (Official Finance),"Unspecified Chinese Government Institution, Government Agency",Development,Gaborone,-24.60166,24.7281,Jwaneng,19577544.0,2004,China Finances Multi-Purpose Youth Centre,Botswana,ChinatoAfrica
Botswana,Other Social infrastructure and services,Loan (excluding debt rescheduling),Vague (Official Finance),"Unspecified Chinese Government Institution, Government Agency",Development,Gaborone,-25.22435,25.67728,Lobatse,19577544.0,2004,China Finances Multi-Purpose Youth Centre,Botswana,ChinatoAfrica
