"project_id","is_geocoded","project_title","start_actual_isodate","start_actual_type","end_actual_isodate","end_actual_type","donors","donors_iso3","recipients","recipients_iso3","ad_sector_codes","ad_sector_names","ad_purpose_codes","ad_purpose_names","status","transactions_start_year","transactions_end_year","total_commitments","total_disbursements"
"76","1","Mosaka water supply project","","start-actual","","end-actual","China","CHN","Congo, Dem. Rep.","COD","140","Water Supply and Sanitation","","","Completion","2005","2005","3241976.167",""
"91","1","Exim Bank Provides Loan for GSM mobile telecommunication project","","start-actual","2006-03-01","end-actual","China","CHN","Burundi","BDI","220","Communications","","","Completion","2004","2006","16306747.58",""
"115","1","Chalinze Water Supply Project, Phase 1 (linked to #230)","","start-actual","2004-05-01","end-actual","China","CHN","Tanzania","TZA","140","Water Supply and Sanitation","","","Completion","2000","2004","31611793.91",""
"134","1","National Fiber-Optic Transmission Phase one","2009-03-01","start-actual","2009-10-01","end-actual","China","CHN","Congo, Dem. Rep.","COD","220","Communications","","","Completion","2008","2009","48636070.55",""
"230","1","Rehabilitate and extend the water supply system in Chalinze","","start-actual","","end-actual","China","CHN","Tanzania","TZA","140","Water Supply and Sanitation","","","Implementation"," "," ","",""
"239","1","China Exim Bank finances construction of the Gininia-Textile Mill Road in Rwanda","2004-01-01","start-actual","2006-01-01","end-actual","China","CHN","Rwanda","RWA","210","Transport and Storage","","","Completion","2004","2006","",""
"277","1","Chine provides debt relief to Burundi","2001-04-27","start-actual","2001-04-27","end-actual","China","CHN","Burundi","BDI","600","Action Relating to Debt","","","Completion","2001","2001","103987249.2",""
"280","1","Government Assistance Technical Agreement","","start-actual","","end-actual","China","CHN","Burundi","BDI","998","Unallocated / Unspecified","","","Implementation","2001","2001","5495444.934",""
"288","1","Sports and Office equipment","2002-06-07","start-actual","2002-06-07","end-actual","China","CHN","Burundi","BDI","110","Education","","","Completion","2002","2002","",""
"290","1","Economic Grant","","start-actual","","end-actual","China","CHN","Burundi","BDI","998","Unallocated / Unspecified","","","Implementation","2003","2003","7988680.059",""
"292","1","Hospital Equipment","","start-actual","","end-actual","China","CHN","Burundi","BDI","120","Health","","","Pipeline/identification"," "," ","",""
