all_recipients,crs_sector_name,flow,flow_class,funding_agency,intent,location_details,latitude,longitude,place_name,year,project_title,recipient_condensed,round_coded,aid_amount,predicted_by_modeling
Mauritania,Transport and Storage,Loan (excluding debt rescheduling),ODA-like,"Export-Import Bank of China, Government Agency",Development,Nouakchott,18.08581,-15.9785,Nouakchott,2008,China issues 2 billion yuan loan to fund Port of Friendship expansion project in Mauritania,Mauritania,ChinatoAfrica,396886331.0,False
Angola,Emergency Response,Grant,ODA-like,"Unspecified Chinese Government Institution, Government Agency",Development,Bie Province,-12.34989,17.3031,Província do Bié,2001,"China grants $600,000 USD in food aid for flood victims",Angola,ChinatoAfrica,1364094.0,False
Botswana,Other Social infrastructure and services,Loan (excluding debt rescheduling),ODA-like,"Unspecified Chinese Government Institution, Government Agency",Development,"Maun, Jwaneng, Gaborone, Lobatse, Francistown and Gaborone",-24.60166,24.7281,Jwaneng,2004,China loans 117 million BWP for medium and low cost houses,Botswana,ChinatoAfrica,51378371.0,False
Botswana,Other Social infrastructure and services,Loan (excluding debt rescheduling),ODA-like,"Unspecified Chinese Government Institution, Government Agency",Development,"Maun, Jwaneng, Gaborone, Lobatse, Francistown and Gaborone",-25.22435,25.67728,Lobatse,2004,China loans 117 million BWP for medium and low cost houses,Botswana,ChinatoAfrica,51378371.0,False
Botswana,Other Social infrastructure and services,Loan (excluding debt rescheduling),ODA-like,"Unspecified Chinese Government Institution, Government Agency",Development,"Maun, Jwaneng, Gaborone, Lobatse, Francistown and Gaborone",-24.65451,25.90859,Gaborone,2004,China loans 117 million BWP for medium and low cost houses,Botswana,ChinatoAfrica,51378371.0,False
Botswana,Other Social infrastructure and services,Loan (excluding debt rescheduling),ODA-like,"Unspecified Chinese Government Institution, Government Agency",Development,"Maun, Jwaneng, Gaborone, Lobatse, Francistown and Gaborone",-19.98333,23.41667,Maun,2004,China loans 117 million BWP for medium and low cost houses,Botswana,ChinatoAfrica,51378371.0,False
Botswana,Other Social infrastructure and services,Loan (excluding debt rescheduling),ODA-like,"Unspecified Chinese Government Institution, Government Agency",Development,"Maun, Jwaneng, Gaborone, Lobatse, Francistown and Gaborone",-21.16995,27.50788,Francistown,2004,China loans 117 million BWP for medium and low cost houses,Botswana,ChinatoAfrica,51378371.0,False
Botswana,Other Social infrastructure and services,Loan (excluding debt rescheduling),ODA-like,"Unspecified Chinese Government Institution, Government Agency",Development,"Maun, Jwaneng, Gaborone, Lobatse, Francistown and Gaborone",-24.76234,25.7995,Gaborone,2004,China loans 117 million BWP for medium and low cost houses,Botswana,ChinatoAfrica,51378371.0,False
Botswana,Other Social infrastructure and services,Loan (excluding debt rescheduling),ODA-like,"Unspecified Chinese Government Institution, Government Agency",Development,"Maun, Jwaneng, Gaborone, Lobatse, Francistown and Gaborone",-22.51958,27.47254,Palapye,2004,China loans 117 million BWP for medium and low cost houses,Botswana,ChinatoAfrica,51378371.0,False
Botswana,Other Social infrastructure and services,Loan (excluding debt rescheduling),Vague (Official Finance),"Unspecified Chinese Government Institution, Government Agency",Development,Gaborone,-24.60166,24.7281,Jwaneng,2004,China Finances Multi-Purpose Youth Centre,Botswana,ChinatoAfrica,19577544.0,False
