recipient_condensed,year,aid_amount
"Africa, regional",2000,128566335.82666667
"Africa, regional",2001,166263330.50666666
"Africa, regional",2002,14317428.753333336
"Africa, regional",2003,371322886.2399999
"Africa, regional",2004,1192903132.9066668
"Africa, regional",2006,581502729.38
"Africa, regional",2007,9401714600.4
"Africa, regional",2008,755268033.5399998
"Africa, regional",2009,382808740.02666664
"Africa, regional",2010,171327089.2733333
"Africa, regional",2011,376648014.8066667
"Africa, regional",2012,676559280.7266667
"Africa, regional",2013,69651691.06
"Africa, regional",2014,794980684.82
Algeria,2003,500348697.3
Algeria,2008,10050286.846666666
Algeria,2010,55730345.0
Algeria,2011,21544811.28666667
Angola,2001,7510861.72
Angola,2002,838765163.7399999
Angola,2003,24236231.0
Angola,2004,114758369.99333334
Angola,2005,5288108171.106666
Angola,2006,24216982224.053333
Angola,2007,634162873.54
Angola,2008,3503181109.0
Angola,2011,2234010695.38
Angola,2012,1061277262.6666666
Angola,2013,46722642.346666664
Angola,2014,264285972.41333333
Bahrain,2011,9761425.606666667
Bahrain,2014,10380465.206666667
Benin,2002,11417239.226666665
Benin,2004,11417239.226666665
Benin,2005,1868667.7799999998
Benin,2006,55620362.48666666
Benin,2008,83668734.18666668
Benin,2009,30391069.066666663
Benin,2010,12297875.546666667
Benin,2013,986394781.8066666
Benin,2014,840000.0
Botswana,2000,705814.96
Botswana,2003,212954836.0
Botswana,2004,625386781.0
Botswana,2005,7434689.873333332
Botswana,2006,52441649.0
Botswana,2007,12236763.966666665
Botswana,2008,10390287.78
Botswana,2009,1131142841.2533336
Botswana,2010,412520618.67333335
Botswana,2011,27906974.246666666
Botswana,2012,21848338.71333333
Botswana,2014,39957403.02666667
Burundi,2000,11425732.366666667
Burundi,2001,103949848.0
Burundi,2002,71120914.41333334
Burundi,2004,44027494.36666667
Burundi,2005,12060317.316666665
Burundi,2006,34500839.36666667
Burundi,2007,94181850.0
Burundi,2008,86936370.86666666
Burundi,2009,30151060.540000003
Burundi,2010,11425732.366666667
Burundi,2011,7522367.526666666
Burundi,2012,28909490.980000004
Burundi,2014,25045499.526666664
Cameroon,2000,212653608.42000002
Cameroon,2001,55758702.0
Cameroon,2002,34748953.82666667
Cameroon,2003,3913773.833333333
Cameroon,2004,21777851.826666664
Cameroon,2005,2890277.0733333323
Cameroon,2006,137910132.22
Cameroon,2007,5487419592.340001
Cameroon,2008,93807423.6
Cameroon,2009,1525400633.0
Cameroon,2010,271825175.2733333
Cameroon,2011,2034430845.5733335
Cameroon,2012,2617761746.273333
Cameroon,2013,735565440.8066666
Cameroon,2014,18714491.139999997
Cape Verde,2000,856774.8066666665
Cape Verde,2001,4628079.746666667
Cape Verde,2002,51422373.1
Cape Verde,2003,5253012.106666666
Cape Verde,2004,856774.8066666665
Cape Verde,2005,71610271.0
Cape Verde,2006,12708429.0
Cape Verde,2007,17480828.386666667
Cape Verde,2008,988089.1533333331
Cape Verde,2010,856774.8066666665
Cape Verde,2012,5336750.673333333
Cape Verde,2014,988089.1533333331
Central African Rep.,2000,17039166.19333333
Central African Rep.,2002,62940914.87333334
Central African Rep.,2003,62149338.946666665
Central African Rep.,2004,16447531.073333332
Central African Rep.,2005,132539308.0
Central African Rep.,2006,1865590.7000000002
Central African Rep.,2007,20038929.0
Central African Rep.,2008,3555849.3866666663
Central African Rep.,2009,17462949.853333335
Central African Rep.,2010,8204355.073333332
Central African Rep.,2011,76450897.0
Chad,2007,579680074.56
Chad,2008,4370335.113333333
Chad,2009,4469973.226666667
Chad,2010,28016701.586666666
Chad,2011,786813690.5866667
Chad,2012,15970082.586666666
Chad,2013,112715897.18666667
Comoros,2002,90798.0
Comoros,2004,34663252.0
Comoros,2005,3339697.08
Comoros,2006,10811924.046666667
Comoros,2007,520810.0
Comoros,2008,1479499.68
Comoros,2009,2167725.433333333
Comoros,2010,54659660.29333334
Comoros,2012,10559696.426666668
Comoros,2013,820524.0
Comoros,2014,164972741.67333335
Cote D'Ivoire,2001,2746734.0
Cote D'Ivoire,2002,81920545.0
Cote D'Ivoire,2004,43579071.46666667
Cote D'Ivoire,2006,15005356.0
Cote D'Ivoire,2007,91176717.0
Cote D'Ivoire,2008,160583909.0
Cote D'Ivoire,2010,1339706.633333333
Cote D'Ivoire,2011,661487964.58
Cote D'Ivoire,2012,708348288.6266667
Cote D'Ivoire,2013,889659193.0
Cote D'Ivoire,2014,210000000.0
Democratic Republic of Congo,2000,49879063.086666666
Democratic Republic of Congo,2001,30213519.0
Democratic Republic of Congo,2003,1597218.0
Democratic Republic of Congo,2004,29877898.0
Democratic Republic of Congo,2005,3240810.0
Democratic Republic of Congo,2006,64598585.50666667
Democratic Republic of Congo,2008,264188918.08666667
Democratic Republic of Congo,2009,65010168.72666667
Democratic Republic of Congo,2010,474646460.88666666
Democratic Republic of Congo,2011,399595437.0
Democratic Republic of Congo,2012,22452020.906666666
Democratic Republic of Congo,2013,16995779.5
Democratic Republic of Congo,2014,27241979.666666668
Djibouti,2001,5479112.0
Djibouti,2003,2987666.0
Djibouti,2004,19737240.093333334
Djibouti,2005,2396938.0
Djibouti,2006,398167.04
Djibouti,2007,106968.0
Djibouti,2009,16654182.433333334
Djibouti,2012,16257354.55333333
Djibouti,2013,4778835.74
