project_title,recipients,ad_sector_names,transactions_start_year,total_commitments
ML-Strengthening Reproductive Health,Mali,"Health, general|Health",2011,30000000.0
Re-engagement and Reform Support Program,Liberia,"Government and civil society, general",2007,458870292.5
AFCC2/RI-East Africa Public Health Laboratory Networking Project,Eastern Africa,Communications|Health,2010,65017077.4003
Increased Access to Modern Energy,Benin,Energy generation and supply,2009,72447531.1693
Local Government Management and Services Delivery Project,Uganda,"Other social infrastructure and services|Government and civil society, general",2007,58692711.8314
Chad: Institutional Reform Support Credit,Chad,"Industry|Agriculture|Government and civil society, general|Mineral resources and mining",2004,29280880.8907
Ethiopia - Financial Sector Capacity Building Project,Ethiopia,Banking and financial services,2006,16471549.2695
Fifth Poverty Reduction Support Credit,Ghana,"Education, level unspecified|Banking and financial services|Health|Government and civil society, general|Energy generation and supply",2007,117385423.66299999
Fourth Poverty Reduction Strategy Grant,Rwanda,"Water supply and sanitation|Education, level unspecified|Agriculture|Government and civil society, general|Health",2008,73079006.3506
West Africa Agricultural Productivity Program APL (WAAPP-1C),Western Africa,Industry|Agriculture,2011,83800000.0
Health Sector Reform Project,Malawi,"Health|Government and civil society, general",2004,17568528.5344
Sustainable Management of Fish Resources,Senegal,"Agriculture, forestry, fishing|Agriculture",2008,3653950.31753
Urban Water Supply Project,Tunisia,"Water supply and sanitation|Government and civil society, general",2005,43110279.598000005
Regional Trade Facilitation Project I,Africa,Banking and financial services,2001,6247222.17266
FINANCIAL SECTOR TECHNICAL ASSISTANCE PROJECT,Niger,Other social infrastructure and services|Banking and financial services|Communications,2004,17334281.4873
Kariba Dam Rehabilitation Project,Africa,Water supply and sanitation|General environmental protection,2014,75000000.0
Agricultural Services & Producer Organizations Project 2,Senegal,"Industry|Agriculture|Government and civil society, general",2006,21962065.6926
DRC - Agriculture Rehabilitation and Recovery Support,Democratic Republic of Congo,"Agriculture, forestry, fishing|Agriculture|Transport and storage",2010,122558110.085
TG-Economic Recovery and Governance Grant,Togo,"Banking and financial services|Industry|Energy generation and supply|Government and civil society, general",2008,182697515.876
CG Rep: Transparency & Governance Repeat Project,Congo,"Government and civil society, general",2012,4909218.5826900005
Mozambique Public Financial Management for Results Program,Mozambique,"Education, level unspecified|Government and civil society, general|Health, general",2014,50000000.0
CG-TRANSPARENCY & GOVERN. SUPPL,Congo,"Mineral resources and mining|Government and civil society, general",2007,16007103.2268
Transport Sector Support Project - Additional Financing,Kenya,Transport and storage,2014,203500000.0
South Sudan Health Rapid Results AF,South Sudan,"Health|Government and civil society, general",2014,35000000.0
Regional Trade Facilitation Project - Kenya,Kenya,Banking and financial services,2001,31236110.8633
Transport Sector Reform and Rehabilitation Project,Madagascar,"Industry|Government and civil society, general|Transport and storage",2000,83049089.3073
Rural Development Support Project Additional Financing,Madagascar,"Agriculture, forestry, fishing|Agriculture",2008,31319574.1503
Transformation of Agriculture Sector Program Phase 3 PforR,Rwanda,Banking and financial services|Agriculture|Industry,2014,100000000.0
MA MSME Development Project,Morocco,Banking and financial services,2012,49092185.8269
Supplemental Cr. to Health & Population,Rwanda,"Health|Government and civil society, general",2000,8943748.07925
LS -2ND POVERTY REDUCTION SUPPORT CREDIT,Lesotho,"Basic education|Health|Government and civil society, general|Secondary education",2010,25532939.6011
Social Development Fund Project,Senegal,Water supply and sanitation|Other social infrastructure and services|Banking and financial services|Health|Basic education,2000,38330348.9111
Public Sector Capacity Building Project,Mauritania,"Other social infrastructure and services|Government and civil society, general",2006,14275342.7002
AFCC2/RI-Regional Communications Infrastructure Project,Eastern Africa,"Communications|Government and civil society, general",2007,175544565.387
Tunisia Governance and Opportunity DPL,Tunisia,"Communications|Banking and financial services|Government and civil society, general|Other social infrastructure and services",2011,500000000.0
Education Sector Reform Project,Chad,"Other social infrastructure and services|Basic education|Government and civil society, general|Secondary education",2003,50986358.4396
Education Quality Improvement Program (EQIP) Phase 2,Tunisia,"Basic education|Government and civil society, general|Secondary education",2004,152658800.61200002
Local Development Program Support Project,Chad,"Water supply and sanitation|Other social infrastructure and services|Transport and storage|Government and civil society, general|Basic education",2004,26938410.4194
Ghana Urban Transport Project,Ghana,"Government and civil society, general|Transport and storage",2007,48021309.6803
EG-AIRPORTS DEVELOPMENT PROJECT,Egypt,"Government and civil society, general|Transport and storage",2004,392363803.935
Urban Water Supply - Supplemental,Sierra Leone,Water supply and sanitation,2005,3627475.53809
MZ-Financial Sector TA ProjectFinancial Sector Technical Assistance,Mozambique,"Post-secondary education|Banking and financial services|Government and civil society, general",2005,11902654.1094
Cote d'Ivoire PRSC 1,Cote D'Ivoire,"Agriculture, forestry, fishing|Agriculture|Government and civil society, general|Energy generation and supply",2013,51645692.0428
Third Poverty Reduction Support Credit,Uganda,"Water supply and sanitation|Agriculture, forestry, fishing|Health|Government and civil society, general|Education, level unspecified",2003,180631879.215
Emergency Multi-Sector HIV/AIDS Project,Cote D'Ivoire,"Water supply and sanitation|Other social infrastructure and services|Health|Government and civil society, general",2008,20879716.1002
Third Environment Program Support Project,Madagascar,"Agriculture, forestry, fishing|Government and civil society, general|Energy generation and supply",2004,46849409.4251
Morocco - Sustainable Access to Finance DPL,Morocco,Banking and financial services,2010,204263516.80900002
