,country,world_bank_aid,chinese_aid,usaid_aid,hdi,pr_score,cl_score,fh_status,cluster
0,Algeria,438050505.63261,499794221.7662715,247662135.0,0.7490000000000001,6.0,5.0,NF,1
1,Angola,803087306.3547,39649073667.82579,2939892764.0,0.557,6.0,5.0,NF,1
2,Benin,1107819824.37321,1629400205.8567145,1785450859.0,0.505,2.0,2.0,F,2
3,Botswana,385871919.5214,3079771483.2610736,2141446815.0,0.7090000000000001,3.0,2.0,F,2
4,Burkina Faso,2858287903.08478,0.0,2048434303.0,0.405,6.0,3.0,PF,1
5,Burundi,1163282035.86059,1288217497.9331412,1500181372.0,0.429,6.0,5.0,NF,1
6,Cabo Verde,279419603.81495005,764000497.511783,527552607.0,0.6409999999999999,1.0,1.0,F,2
7,Cameroon,1324140742.32425,14361450327.032396,634685423.0,0.54,6.0,6.0,NF,1
8,Central African Republic,294585150.36495,716019614.0665653,552390712.0,0.355,7.0,7.0,NF,1
9,Chad,762985310.0209999,1938385211.0779788,2885399950.0,0.406,7.0,6.0,NF,1
10,Comoros,73683155.09387,742677156.7630304,11242948.0,0.534,3.0,4.0,PF,2
11,Cote D'Ivoire,1815459604.4887702,3045869355.811761,1851870076.0,0.478,5.0,4.0,PF,1
12,Democratic Republic of Congo,5359333225.962869,1663431766.8907669,6982450241.0,0.441,6.0,6.0,NF,1
13,Djibouti,189723479.64425,627721663.5138698,474107681.0,0.475,6.0,5.0,NF,1
14,Egypt,8205843619.546041,463272850.37410194,61292723074.0,0.6829999999999999,6.0,5.0,NF,0
15,Eritrea,486042892.15805995,761591950.0969149,1028386667.0,0.436,7.0,7.0,NF,1
16,Ethiopia,11450836747.395342,84152491273.81349,19011912049.0,0.446,6.0,6.0,NF,3
17,Gabon,62456373.7006,2585947847.4647045,100394128.0,0.688,6.0,5.0,NF,1
18,Gambia,159889109.65100998,0.0,139231178.0,0.449,6.0,6.0,NF,1
19,Ghana,4853869235.671338,17414145238.947147,4463691468.0,0.5770000000000001,1.0,2.0,F,2
20,Guinea,631584494.6187,2413393374.9971013,1347824544.0,0.446,5.0,5.0,PF,1
21,Guinea-Bissau,196021790.93903,1617482180.358512,152051680.0,0.45,5.0,5.0,PF,1
22,Iran,1605362692.3042,0.0,63865441.0,0.7879999999999999,6.0,6.0,NF,1
23,Iraq,1174182327.2132,47261975.57564997,134309996149.0,0.662,6.0,6.0,NF,0
24,Jordan,1829419409.36766,170366115.00340116,25817999407.0,0.72,6.0,5.0,NF,1
25,Kenya,5346268995.897382,42820495182.108185,15133681529.0,0.556,4.0,4.0,PF,2
26,Lebanon,1388968485.0813894,762287047.435142,4989869352.0,0.732,5.0,4.0,PF,1
27,Lesotho,330541082.28052,728351942.4848849,1388199091.0,0.493,2.0,3.0,F,2
28,Liberia,980563564.5671301,2758880205.166236,4512835291.0,0.464,3.0,4.0,PF,2
29,Madagascar,2249695940.05051,556234064.9672635,2095127322.0,0.512,4.0,4.0,PF,2
30,Malawi,1771178214.7146976,2028137177.7338352,4089349108.0,0.472,3.0,4.0,PF,2
31,Mali,2152684569.33905,2442788790.0871468,4318933048.0,0.414,5.0,4.0,PF,1
32,Mauritania,527094892.57145995,1960802384.9702587,674582555.0,0.518,6.0,5.0,NF,1
33,Mauritius,438339782.06472,18950847283.349144,24387198.0,0.7859999999999999,1.0,2.0,F,2
34,Morocco,5975940822.767529,6486425587.34496,3366876290.0,0.653,5.0,4.0,PF,2
35,Mozambique,3848939429.8659983,7304056830.956234,8185871492.0,0.42,4.0,3.0,PF,2
36,Namibia,15833445.15094,5554386084.084247,2659015595.0,0.631,2.0,2.0,F,2
