country,world_bank_aid,chinese_aid,usaid_aid
Algeria,438050505.63261,499794221.7662715,247662135.0
Angola,803087306.3547,39649073667.82579,2939892764.0
Benin,1107819824.37321,1629400205.8567145,1785450859.0
Botswana,385871919.5214,3079771483.2610736,2141446815.0
Burkina Faso,2858287903.08478,,2048434303.0
Burundi,1163282035.86059,1288217497.9331412,1500181372.0
Cabo Verde,279419603.81495005,,527552607.0
Cameroon,1324140742.32425,14361450327.032396,634685423.0
Central African Republic,294585150.36495,716019614.0665653,552390712.0
Chad,762985310.0209999,1938385211.0779788,2885399950.0
Comoros,73683155.09387,742677156.7630304,11242948.0
Cote D'Ivoire,1815459604.4887702,3045869355.811761,1851870076.0
Democratic Republic of Congo,5359333225.962869,1663431766.8907669,6982450241.0
Djibouti,189723479.64425,627721663.5138698,474107681.0
Egypt,8205843619.546041,463272850.37410194,61292723074.0
Eritrea,486042892.15805995,761591950.0969149,1028386667.0
Ethiopia,11450836747.395342,84152491273.81349,19011912049.0
Gabon,62456373.7006,2585947847.4647045,100394128.0
Gambia,159889109.65100998,,139231178.0
Ghana,4853869235.671338,17414145238.947147,4463691468.0
Guinea,631584494.6187,2413393374.9971013,1347824544.0
Guinea-Bissau,196021790.93903,1617482180.358512,152051680.0
Iran,1605362692.3042,,63865441.0
Iraq,1174182327.2132,47261975.57564997,134309996149.0
Jordan,1829419409.36766,170366115.00340116,25817999407.0
Kenya,5346268995.897382,42820495182.108185,15133681529.0
Lebanon,1388968485.0813894,762287047.435142,4989869352.0
Lesotho,330541082.28052,728351942.4848849,1388199091.0
Liberia,980563564.5671301,2758880205.166236,4512835291.0
Madagascar,2249695940.05051,556234064.9672635,2095127322.0
Malawi,1771178214.7146976,2028137177.7338352,4089349108.0
Mali,2152684569.33905,2442788790.0871468,4318933048.0
Mauritania,527094892.57145995,1960802384.9702587,674582555.0
Mauritius,438339782.06472,18950847283.349144,24387198.0
Morocco,5975940822.767529,6486425587.34496,3366876290.0
Mozambique,3848939429.8659983,7304056830.956234,8185871492.0
Namibia,15833445.15094,5554386084.084247,2659015595.0
Niger,1594253951.87673,2336854401.50532,1784885420.0
Nigeria,10756091053.550283,32815379377.147007,9655778996.0
Republic of Congo,482041302.0334801,13448890572.029293,243388741.0
Rwanda,2101318581.8820105,6229522660.256689,3652477663.0
Sao Tome and Principe,55158991.589530006,,38847671.0
Senegal,2227930058.21804,2488234292.9539857,3656034159.0
Seychelles,46609843.737059996,2443037693.57325,20062006.0
Sierra Leone,792722629.96532,5507479360.322006,1099909432.0
South Africa,3848383989.7297,3713284686.418901,10589592482.0
South Sudan,126336882.7008,615128655.0347742,4261786181.0
Swaziland,46900000.0,,
Tanzania,7763593727.746676,27162434370.226418,9664758636.0
Togo,432693212.59658,5647992962.338222,147229954.0
Tunisia,3714659324.397101,591245778.9757874,1054238685.0
Turkey,25606561582.3389,8660253074.280157,
Uganda,5086029421.1847315,5913893049.467613,10329016904.0
Yemen,2445064361.5030503,2350832999.519259,2939500773.0
Zambia,1604376380.76425,19807162418.05505,6452866404.0
Bahrain,,83218670.65082693,900204738.0
Cape Verde,,764000497.511783,
Equatorial Guinea,,6726441915.310846,5080444.0
Israel,,194834744.03703704,102054103330.0
Libya,,17736686.89090909,950008484.0
Palestine,,23749695.76842105,13369537056.0
Somalia,,40468266.89090909,5911541821.0
Sudan,,32909729987.408882,19230956604.0
Syria,,275908094.11733466,3572409396.0
United Arab Emirates,,31771063.0,37945421.0
Zimbabwe,,26366753309.236744,3928401491.0
Eswatini,,,540913051.0
Kuwait,,,8617661.0
Oman,,,885517811.0
Qatar,,,18859773.0
Saudi Arabia,,,20942632.0
