,country,world_bank_totals,chinese_aid_totals,usaid_aid,hdi_14,pr_score14,cl_score14,fh_status14,cpi_2014,gdp_per_cap14,resource_rents,debt_to_gdp,fh_change,pc_gdp_change,hdi_change,world_bank_pc,chinese_aid_pc,usaid_pc,chinese_aid_total_max,clusters_all,cluster_all_aid,cluster_pc_aid,clusters_selected_features,clusters_selected_features_9
0,Algeria,438050505.63261,588090128.3066666,247662135.0,0.7490000000000001,6.0,5.0,NF,36.0,4702.0917,24.602722399999998,7.672999999999999,0.0,2937.203478000001,0.1030000000000002,11.254085606859649,15.108798102982036,6.362761446519699,1,6,0,0,1,4
1,Angola,803087306.3547,38642332751.49335,2939892764.0,0.557,6.0,5.0,NF,19.0,3843.1982409999996,23.38192979,40.676,-1.0,3286.3619229,0.1630000000000001,29.80825083431573,1434.2903173355164,109.12021674589492,1,0,1,0,0,7
2,Benin,1107819824.37321,1155923878.439999,1785450859.0,0.505,2.0,2.0,F,39.0,834.4435963999997,4.872944942,30.451999999999998,0.0,460.25120219999985,0.10700000000000004,107.69289781773745,112.36916815092516,173.56647054557658,0,1,0,0,0,0
3,Botswana,385871919.5214,2563157560.280001,2141446815.0,0.7090000000000001,3.0,2.0,F,63.0,7864.253281,2.516288978,17.346,1.0,4341.944603,0.13100000000000012,184.7502312640823,1227.2050078568855,1025.2956338509653,1,1,0,0,0,5
4,Burkina Faso,2858287903.08478,0.0,2048434303.0,0.405,6.0,3.0,PF,38.0,639.7080956,16.98160287,30.386999999999997,1.0,413.2321142,0.11900000000000001,162.53185147522493,0.0,116.48085538641294,0,0,0,0,0,6
5,Burundi,1163282035.86059,558205197.1333333,1500181372.0,0.429,6.0,5.0,NF,20.0,245.32673870000002,17.03331418,35.772,-1.0,108.8627679,0.136,118.16811661214508,56.70340879936204,152.3909093762612,0,0,0,0,0,6
6,Cabo Verde,279419603.81495005,206126635.32666665,527552607.0,0.6409999999999999,1.0,1.0,F,57.0,3422.7488020000005,0.608516356,115.92399999999999,-1.0,2163.4251460000005,0.07699999999999996,539.1401064214723,397.7213287436961,1017.9127190705984,0,1,0,2,0,5
7,Cameroon,1324140742.32425,13422780195.819992,634685423.0,0.54,6.0,6.0,NF,27.0,1400.387017,7.981233631,21.534000000000002,-1.0,750.3951716,0.10100000000000003,58.37884807868253,591.7848615320663,27.982073734876572,1,0,0,0,0,6
8,Central African Republic,294585150.36495,396736864.6933334,552390712.0,0.355,7.0,7.0,NF,24.0,334.1145508,12.36093148,69.16199999999999,7.0,82.90767340000002,0.04799999999999999,65.9887102017618,88.8712616985968,123.7385882049875,0,4,0,0,0,6
9,Chad,762985310.0209999,1522646048.8266664,2885399950.0,0.406,7.0,6.0,NF,22.0,960.4409199999999,20.05245176,41.545,2.0,794.6779334,0.10800000000000004,55.840891090015404,111.43846554376252,211.17484470920056,0,4,0,0,0,6
