country,world_bank_aid,chinese_aid,usaid_aid,hdi_00,hdi_14,pr_score00,cl_score00,fh_status00,pr_score14,cl_score14,fh_status14,cpi_2014,population,gdp_per_cap,resource_rents
Algeria,438050505.63261,587674140.4333334,247662135.0,0.6459999999999999,0.7490000000000001,6.0,5.0,NF,6.0,5.0,NF,36.0,38923687,4702.0917,24.6027224
Angola,803087306.3547,38234001576.959984,2939892764.0,0.39399999999999996,0.557,6.0,6.0,NF,6.0,5.0,NF,19.0,26941779,3843.198241,23.38192979
Benin,1107819824.37321,1193915969.326667,1785450859.0,0.39799999999999996,0.505,2.0,2.0,F,2.0,2.0,F,39.0,10286842,834.4435963999998,4.872944942
Botswana,385871919.5214,2554926998.4933314,2141446815.0,0.578,0.7090000000000001,2.0,2.0,F,3.0,2.0,F,63.0,2088614,7864.253281,2.516288978
Burkina Faso,2858287903.08478,0.0,2048434303.0,0.28600000000000003,0.405,4.0,4.0,PF,6.0,3.0,PF,38.0,17586017,639.7080956,16.98160287
Burundi,1163282035.86059,561257517.6366665,1500181372.0,0.293,0.429,6.0,6.0,NF,6.0,5.0,NF,20.0,9844297,245.3267387,17.03331418
Cabo Verde,279419603.81495005,172986246.74000004,527552607.0,0.564,0.6409999999999999,1.0,2.0,F,1.0,1.0,F,57.0,518269,3422.7488020000005,0.608516356
Cameroon,1324140742.32425,13254578647.206663,634685423.0,0.439,0.54,7.0,6.0,NF,6.0,6.0,NF,27.0,22681858,1400.387017,7.981233631
Central African Republic,294585150.36495,418694830.0999999,552390712.0,0.307,0.355,3.0,4.0,PF,7.0,7.0,NF,24.0,4464175,334.1145508,12.36093148
Chad,762985310.0209999,1532036754.8466663,2885399950.0,0.298,0.406,6.0,5.0,NF,7.0,6.0,NF,22.0,13663559,960.44092,20.05245176
Comoros,73683155.09387,284086328.63333344,11242948.0,0.457,0.534,6.0,4.0,PF,3.0,4.0,PF,26.0,759390,1369.176631,1.90318903
Cote D'Ivoire,1815459604.4887702,2865847485.3066664,1851870076.0,0.40700000000000003,0.478,6.0,5.0,PF,5.0,4.0,PF,32.0,22647683,1377.796563,6.17522542
Democratic Republic of Congo,5359333225.962869,1449537858.3666668,6982450241.0,0.33299999999999996,0.441,7.0,6.0,NF,6.0,6.0,NF,22.0,73767447,397.3416705,35.37516398
Djibouti,189723479.64425,71012736.09333335,474107681.0,0.361,0.475,4.0,5.0,PF,6.0,5.0,NF,34.0,898696,1595.15,1.167580675
Egypt,8205843619.546041,275390137.08666664,61292723074.0,0.611,0.6829999999999999,6.0,5.0,NF,6.0,5.0,NF,37.0,90424654,2648.294169,8.664097598
Eritrea,486042892.15806,482484478.3533332,1028386667.0,0.5074305555555555,0.436,7.0,5.0,NF,7.0,7.0,NF,18.0,4475000,467.0,19.1
Ethiopia,11450836747.395342,83284981382.95003,19011912049.0,0.28300000000000003,0.446,5.0,5.0,PF,6.0,6.0,NF,33.0,98094253,449.42037710000005,13.11050205
Gabon,62456373.7006,1794766062.58,100394128.0,0.627,0.688,5.0,4.0,PF,6.0,5.0,NF,37.0,1883800,9467.363786,27.12381411
Gambia,159889109.65100998,0.0,139231178.0,0.382,0.449,7.0,5.0,NF,6.0,6.0,NF,29.0,2024042,747.7087319,5.77778113
Ghana,4853869235.671338,12700587556.779995,4463691468.0,0.483,0.5770000000000001,2.0,3.0,F,1.0,2.0,F,48.0,27224472,1626.622783,14.12864056
Guinea,631584494.6187,934821254.06,1347824544.0,0.335,0.446,6.0,5.0,NF,5.0,5.0,PF,25.0,11150977,741.0381352,17.11588571
Guinea-Bissau,196021790.93903,236440233.56000003,152051680.0,0.5074305555555555,0.45,4.0,5.0,PF,5.0,5.0,PF,19.0,1692439,555.6050487000001,17.89642717
Iran,1605362692.3042,0.0,63865441.0,0.6709999999999999,0.7879999999999999,6.0,6.0,NF,6.0,6.0,NF,27.0,77465753,6236.289411,27.2239117
Iraq,1174182327.2132,14206471.893333333,134309996149.0,0.608,0.662,7.0,7.0,NF,6.0,6.0,NF,16.0,34411951,5344.331964,45.62957543
Jordan,1829419409.36766,131407897.90666668,25817999407.0,0.7020000000000001,0.72,4.0,4.0,PF,6.0,5.0,NF,49.0,8920049,3353.623382,1.034977368
Kenya,5346268995.897382,40152133983.87,15133681529.0,0.446,0.556,6.0,5.0,NF,4.0,4.0,PF,25.0,46699981,1060.095016,2.773411054
Lebanon,1388968485.0813894,80006332.96666667,4989869352.0,0.5074305555555555,0.732,6.0,5.0,NF,5.0,4.0,PF,27.0,6262410,6649.213772,0.002215635
Lesotho,330541082.28052,262944923.4,1388199091.0,0.444,0.493,4.0,4.0,PF,2.0,3.0,F,49.0,2043437,1389.875532,4.942003027
Liberia,980563564.5671301,633080344.23,4512835291.0,0.42200000000000004,0.46399999999999997,5.0,6.0,PF,3.0,4.0,PF,37.0,4359505,586.2293607999999,32.32033198
Madagascar,2249695940.05051,174330228.1266666,2095127322.0,0.456,0.512,2.0,4.0,PF,4.0,4.0,PF,28.0,23589887,468.11300080000007,11.22439775
Malawi,1771178214.7146976,1022198047.5266666,4089349108.0,0.36200000000000004,0.47200000000000003,3.0,3.0,PF,3.0,4.0,PF,33.0,16289540,507.537975,9.303725013
Mali,2152684569.33905,1835632749.7933333,4318933048.0,0.308,0.414,2.0,3.0,F,5.0,4.0,PF,32.0,16934220,706.981554,11.43790898
Mauritania,527094892.57146,1329504973.6333332,674582555.0,0.446,0.518,6.0,5.0,NF,6.0,5.0,NF,30.0,3930896,1369.187945,31.0318372
Mauritius,438339782.06472003,18492950807.20666,24387198.0,0.674,0.7859999999999999,1.0,2.0,F,1.0,2.0,F,54.0,1260934,9163.633473,0.001200632
Morocco,5975940822.767529,6312681190.120001,3366876290.0,0.531,0.653,5.0,4.0,PF,5.0,4.0,PF,39.0,34192347,3125.079481,2.0634716230000003
Mozambique,3848939429.8659983,7118077065.579998,8185871492.0,0.301,0.42,3.0,4.0,PF,4.0,3.0,PF,31.0,26286163,558.2093443,13.56366262
Namibia,15833445.15094,4643259372.486666,2659015595.0,0.5429999999999999,0.631,2.0,3.0,F,2.0,2.0,F,49.0,2273430,6154.488886,2.563181623
Niger,1594253951.87673,1665944902.0133336,1784885420.0,0.253,0.353,4.0,4.0,PF,3.0,4.0,PF,35.0,19240157,384.9006562,13.77054788
Nigeria,10756091053.550283,32440054553.93333,9655778996.0,0.5074305555555555,0.523,4.0,4.0,PF,4.0,5.0,PF,27.0,176404902,2563.899969,10.3209233
Congo,482041302.0334801,8810912814.769997,243388741.0,0.495,0.595,6.0,4.0,PF,6.0,5.0,NF,23.0,4736974,3005.7369120000008,40.06206864
Rwanda,2101318581.8820105,3295880513.466667,3652477663.0,0.337,0.513,7.0,6.0,NF,6.0,6.0,NF,49.0,11083635,688.2121987,6.398810833
Sao Tome and Principe,55158991.58953001,0.0,38847671.0,0.48,0.5770000000000001,1.0,2.0,F,2.0,2.0,F,42.0,195727,1213.164082,2.957771713
Senegal,2227930058.21804,2052295576.46,3656034159.0,0.39,0.501,3.0,4.0,PF,2.0,2.0,F,43.0,14174731,1337.40669,3.750716816
Sierra Leone,792722629.96532,1467988807.4533324,1099909432.0,0.298,0.43,4.0,5.0,PF,3.0,3.0,PF,31.0,7017144,567.834267,36.45601993
South Africa,3848383989.7297,3441523124.986666,10589592482.0,0.629,0.691,1.0,2.0,F,2.0,2.0,F,44.0,54545991,7582.696929000002,5.787663842000001
South Sudan,126336882.7008,208293686.2333333,4261786181.0,0.5074305555555555,0.435,7.0,7.0,NF,7.0,7.0,NF,15.0,10554883,831.8504616,24.10417281
Swaziland,46900000.0,0.0,540913051.0,0.46799999999999997,0.573,6.0,5.0,NF,7.0,5.0,NF,43.0,1095021,4578.2885700000015,3.547631688
Tanzania,7763593727.746676,24147346276.269974,9664758636.0,0.395,0.509,4.0,4.0,PF,3.0,3.0,PF,31.0,49959822,846.3868415,6.2220387000000015
Togo,432693212.59657997,4349282745.246665,147229954.0,0.426,0.495,5.0,5.0,PF,4.0,4.0,PF,29.0,7137997,611.5350691000001,20.89358287
Tunisia,3714659324.397101,142842290.97999996,1054238685.0,0.653,0.728,6.0,5.0,NF,1.0,3.0,F,40.0,11063201,4302.4865439999985,4.86519578
Turkey,25606561582.3389,8655415066.773335,1776648160.0,0.655,0.792,4.0,5.0,PF,3.0,4.0,PF,45.0,77231907,13277.76077,0.41634672
Uganda,5086029421.184732,3728182151.686665,10329016904.0,0.395,0.509,6.0,5.0,PF,6.0,5.0,NF,26.0,36912148,676.3376331000002,11.61607516
Yemen,2445064361.5030503,401442415.6266667,2939500773.0,0.4320000000000001,0.504,5.0,6.0,NF,6.0,6.0,NF,19.0,25823485,1119.147493,12.74950126
Zambia,1604376380.76425,9347361415.383331,6452866404.0,0.428,0.565,5.0,4.0,PF,3.0,4.0,PF,38.0,15399753,1644.10679,15.41524906
