,country,year,pr_score,cl_score,fh_status
0,Algeria,2000,6,5,NF
1,Algeria,2001,6,5,NF
2,Algeria,2002,6,5,NF
3,Algeria,2003,6,5,NF
4,Algeria,2004,6,5,NF
5,Algeria,2005,6,5,NF
6,Algeria,2006,6,5,NF
7,Algeria,2007,6,5,NF
8,Algeria,2008,6,5,NF
9,Algeria,2009,6,5,NF
10,Algeria,2010,6,5,NF
11,Algeria,2011,6,5,NF
12,Algeria,2012,6,5,NF
13,Algeria,2013,6,,NF
14,Algeria,2014,6,5,NF
15,Angola,2000,6,6,NF
16,Angola,2001,6,6,NF
17,Angola,2002,6,5,NF
18,Angola,2003,6,5,NF
19,Angola,2004,6,5,NF
20,Angola,2005,6,5,NF
21,Angola,2006,6,5,NF
22,Angola,2007,6,5,NF
23,Angola,2008,6,5,NF
24,Angola,2009,6,5,NF
25,Angola,2010,6,5,NF
26,Angola,2011,6,5,NF
27,Angola,2012,6,5,NF
28,Angola,2013,6,,NF
29,Angola,2014,6,5,NF
30,Bahrain,2000,7,6,NF
31,Bahrain,2001,6,5,NF
32,Bahrain,2002,5,5,PF
33,Bahrain,2003,5,5,PF
34,Bahrain,2004,5,5,PF
35,Bahrain,2005,5,5,PF
36,Bahrain,2006,5,5,PF
37,Bahrain,2007,5,5,PF
38,Bahrain,2008,5,5,PF
39,Bahrain,2009,6,5,NF
40,Bahrain,2010,6,5,NF
41,Bahrain,2011,6,6,NF
42,Bahrain,2012,6,6,NF
43,Bahrain,2013,6,,NF
44,Bahrain,2014,7,6,NF
45,Benin,2000,2,2,F
46,Benin,2001,3,2,F
47,Benin,2002,3,2,F
48,Benin,2003,2,2,F
49,Benin,2004,2,2,F
50,Benin,2005,2,2,F
51,Benin,2006,2,2,F
52,Benin,2007,2,2,F
53,Benin,2008,2,2,F
54,Benin,2009,2,2,F
55,Benin,2010,2,2,F
56,Benin,2011,2,2,F
57,Benin,2012,2,2,F
58,Benin,2013,2,,F
59,Benin,2014,2,2,F
60,Botswana,2000,2,2,F
61,Botswana,2001,2,2,F
62,Botswana,2002,2,2,F
63,Botswana,2003,2,2,F
64,Botswana,2004,2,2,F
65,Botswana,2005,2,2,F
66,Botswana,2006,2,2,F
67,Botswana,2007,2,2,F
68,Botswana,2008,2,2,F
69,Botswana,2009,3,2,F
70,Botswana,2010,3,2,F
71,Botswana,2011,3,2,F
72,Botswana,2012,3,2,F
73,Botswana,2013,3,,F
74,Botswana,2014,3,2,F
75,Brazil,2000,3,3,PF
76,Brazil,2001,3,3,PF
77,Brazil,2002,2,3,F
78,Brazil,2003,2,3,F
79,Brazil,2004,2,3,F
80,Brazil,2005,2,2,F
81,Brazil,2006,2,2,F
82,Brazil,2007,2,2,F
83,Brazil,2008,2,2,F
84,Brazil,2009,2,2,F
85,Brazil,2010,2,2,F
86,Brazil,2011,2,2,F
87,Brazil,2012,2,2,F
88,Brazil,2013,2,,F
89,Brazil,2014,2,2,F
90,Burkina Faso,2000,4,4,PF
91,Burkina Faso,2001,4,4,PF
92,Burkina Faso,2002,4,4,PF
93,Burkina Faso,2003,4,4,PF
94,Burkina Faso,2004,5,4,PF
95,Burkina Faso,2005,5,3,PF
96,Burkina Faso,2006,5,3,PF
97,Burkina Faso,2007,5,3,PF
98,Burkina Faso,2008,5,3,PF
99,Burkina Faso,2009,5,3,PF
100,Burkina Faso,2010,5,3,PF
101,Burkina Faso,2011,5,3,PF
102,Burkina Faso,2012,5,3,PF
103,Burkina Faso,2013,5,,PF
104,Burkina Faso,2014,6,3,PF
105,Burundi,2000,6,6,NF
106,Burundi,2001,6,6,NF
107,Burundi,2002,6,5,NF
108,Burundi,2003,5,5,PF
109,Burundi,2004,5,5,PF
110,Burundi,2005,3,5,PF
111,Burundi,2006,4,5,PF
112,Burundi,2007,4,5,PF
113,Burundi,2008,4,5,PF
114,Burundi,2009,4,5,PF
115,Burundi,2010,5,5,PF
116,Burundi,2011,5,5,PF
117,Burundi,2012,5,5,PF
118,Burundi,2013,5,,PF
119,Burundi,2014,6,5,NF
120,Cameroon,2000,7,6,NF
121,Cameroon,2001,6,6,NF
122,Cameroon,2002,6,6,NF
123,Cameroon,2003,6,6,NF
124,Cameroon,2004,6,6,NF
125,Cameroon,2005,6,6,NF
126,Cameroon,2006,6,6,NF
127,Cameroon,2007,6,6,NF
128,Cameroon,2008,6,6,NF
129,Cameroon,2009,6,6,NF
130,Cameroon,2010,6,6,NF
131,Cameroon,2011,6,6,NF
132,Cameroon,2012,6,6,NF
133,Cameroon,2013,6,,NF
134,Cameroon,2014,6,6,NF
135,Cape Verde,2000,1,2,F
136,Cape Verde,2001,1,2,F
137,Cape Verde,2002,1,2,F
138,Cape Verde,2003,1,1,F
139,Cape Verde,2004,1,1,F
140,Cape Verde,2005,1,1,F
141,Cape Verde,2006,1,1,F
142,Cape Verde,2007,1,1,F
143,Cape Verde,2008,1,1,F
144,Cape Verde,2009,1,1,F
145,Cape Verde,2010,1,1,F
146,Cape Verde,2011,1,1,F
147,Cape Verde,2012,1,1,F
148,Cape Verde,2013,1,,F
149,Cape Verde,2014,1,1,F
150,Central African Republic,2000,3,4,PF
151,Central African Republic,2001,5,5,PF
152,Central African Republic,2002,5,5,PF
153,Central African Republic,2003,7,5,NF
154,Central African Republic,2004,6,5,NF
155,Central African Republic,2005,5,4,PF
156,Central African Republic,2006,5,4,PF
157,Central African Republic,2007,5,5,PF
158,Central African Republic,2008,5,5,PF
159,Central African Republic,2009,5,5,PF
160,Central African Republic,2010,5,5,PF
161,Central African Republic,2011,5,5,PF
162,Central African Republic,2012,5,5,PF
163,Central African Republic,2013,7,,NF
164,Central African Republic,2014,7,7,NF
165,Chad,2000,6,5,NF
166,Chad,2001,6,5,NF
167,Chad,2002,6,5,NF
168,Chad,2003,6,5,NF
169,Chad,2004,6,5,NF
170,Chad,2005,6,5,NF
171,Chad,2006,6,6,NF
172,Chad,2007,7,6,NF
173,Chad,2008,7,6,NF
174,Chad,2009,7,6,NF
175,Chad,2010,7,6,NF
176,Chad,2011,7,6,NF
177,Chad,2012,7,6,NF
178,Chad,2013,7,,NF
179,Chad,2014,7,6,NF
180,Comoros,2000,6,4,PF
181,Comoros,2001,6,4,PF
182,Comoros,2002,5,4,PF
183,Comoros,2003,5,4,PF
184,Comoros,2004,4,4,PF
185,Comoros,2005,4,4,PF
186,Comoros,2006,3,4,PF
187,Comoros,2007,4,4,PF
188,Comoros,2008,3,4,PF
189,Comoros,2009,3,4,PF
190,Comoros,2010,3,4,PF
191,Comoros,2011,3,4,PF
192,Comoros,2012,3,4,PF
193,Comoros,2013,3,,PF
194,Comoros,2014,3,4,PF
195,Congo (Brazzaville),2000,6,4,PF
196,Congo (Brazzaville),2001,5,4,PF
197,Congo (Brazzaville),2002,6,4,PF
198,Congo (Brazzaville),2003,5,4,PF
199,Congo (Brazzaville),2004,5,4,PF
200,Congo (Brazzaville),2005,5,5,PF
201,Congo (Brazzaville),2006,6,5,NF
202,Congo (Brazzaville),2007,6,5,NF
203,Congo (Brazzaville),2008,6,5,NF
204,Congo (Brazzaville),2009,6,5,NF
205,Congo (Brazzaville),2010,6,5,NF
206,Congo (Brazzaville),2011,6,5,NF
207,Congo (Brazzaville),2012,6,5,NF
208,Congo (Brazzaville),2013,6,,NF
209,Congo (Brazzaville),2014,6,5,NF
210,Congo (Kinshasa),2000,7,6,NF
211,Congo (Kinshasa),2001,6,6,NF
212,Congo (Kinshasa),2002,6,6,NF
213,Congo (Kinshasa),2003,6,6,NF
214,Congo (Kinshasa),2004,6,6,NF
215,Congo (Kinshasa),2005,6,6,NF
216,Congo (Kinshasa),2006,5,6,NF
