Country,0,0,1
Algeria,6,2000,PR
Algeria,5,2000,CL
Algeria,NF,2000,Status
Algeria,6,2001,PR
Algeria,5,2001,CL
Algeria,NF,2001,Status
Algeria,6,2002,PR
Algeria,5,2002,CL
Algeria,NF,2002,Status
Algeria,6,2003,PR
Algeria,5,2003,CL
Algeria,NF,2003,Status
Algeria,6,2004,PR
Algeria,5,2004,CL
Algeria,NF,2004,Status
Algeria,6,2005,PR
Algeria,5,2005,CL
Algeria,NF,2005,Status
Algeria,6,2006,PR
Algeria,5,2006,CL
Algeria,NF,2006,Status
Algeria,6,2007,PR
Algeria,5,2007,CL
Algeria,NF,2007,Status
Algeria,6,2008,PR
Algeria,5,2008,CL
Algeria,NF,2008,Status
Algeria,6,2009,PR
Algeria,5,2009,CL
Algeria,NF,2009,Status
Algeria,6,2010,PR
Algeria,5,2010,CL
Algeria,NF,2010,Status
Algeria,6,2011,PR
Algeria,5,2011,CL
Algeria,NF,2011,Status
Algeria,6,2012,PR
Algeria,5,2012,CL
Algeria,NF,2012,Status
Algeria,6,2013,PR
Algeria,5,2013,CL
Algeria,NF,2013,Status
Algeria,6,2014,PR
Algeria,5,2014,CL
Algeria,NF,2014,Status
Angola,6,2000,PR
Angola,6,2000,CL
Angola,NF,2000,Status
Angola,6,2001,PR
Angola,6,2001,CL
Angola,NF,2001,Status
Angola,6,2002,PR
Angola,5,2002,CL
Angola,NF,2002,Status
Angola,6,2003,PR
Angola,5,2003,CL
Angola,NF,2003,Status
Angola,6,2004,PR
Angola,5,2004,CL
Angola,NF,2004,Status
Angola,6,2005,PR
Angola,5,2005,CL
Angola,NF,2005,Status
Angola,6,2006,PR
Angola,5,2006,CL
Angola,NF,2006,Status
Angola,6,2007,PR
Angola,5,2007,CL
Angola,NF,2007,Status
Angola,6,2008,PR
Angola,5,2008,CL
Angola,NF,2008,Status
Angola,6,2009,PR
Angola,5,2009,CL
Angola,NF,2009,Status
Angola,6,2010,PR
Angola,5,2010,CL
Angola,NF,2010,Status
Angola,6,2011,PR
Angola,5,2011,CL
Angola,NF,2011,Status
Angola,6,2012,PR
Angola,5,2012,CL
Angola,NF,2012,Status
Angola,6,2013,PR
Angola,5,2013,CL
Angola,NF,2013,Status
Angola,6,2014,PR
Angola,5,2014,CL
Angola,NF,2014,Status
Bahrain,7,2000,PR
Bahrain,6,2000,CL
Bahrain,NF,2000,Status
Bahrain,6,2001,PR
Bahrain,5,2001,CL
Bahrain,NF,2001,Status
Bahrain,5,2002,PR
Bahrain,5,2002,CL
Bahrain,PF,2002,Status
Bahrain,5,2003,PR
Bahrain,5,2003,CL
Bahrain,PF,2003,Status
Bahrain,5,2004,PR
Bahrain,5,2004,CL
Bahrain,PF,2004,Status
Bahrain,5,2005,PR
Bahrain,5,2005,CL
Bahrain,PF,2005,Status
Bahrain,5,2006,PR
Bahrain,5,2006,CL
Bahrain,PF,2006,Status
Bahrain,5,2007,PR
Bahrain,5,2007,CL
Bahrain,PF,2007,Status
Bahrain,5,2008,PR
Bahrain,5,2008,CL
Bahrain,PF,2008,Status
Bahrain,6,2009,PR
Bahrain,5,2009,CL
Bahrain,NF,2009,Status
Bahrain,6,2010,PR
Bahrain,5,2010,CL
Bahrain,NF,2010,Status
Bahrain,6,2011,PR
Bahrain,6,2011,CL
Bahrain,NF,2011,Status
Bahrain,6,2012,PR
Bahrain,6,2012,CL
Bahrain,NF,2012,Status
Bahrain,6,2013,PR
Bahrain,6,2013,CL
Bahrain,NF,2013,Status
Bahrain,7,2014,PR
Bahrain,6,2014,CL
Bahrain,NF,2014,Status
Benin,2,2000,PR
Benin,2,2000,CL
Benin,F,2000,Status
Benin,3,2001,PR
Benin,2,2001,CL
Benin,F,2001,Status
Benin,3,2002,PR
Benin,2,2002,CL
Benin,F,2002,Status
Benin,2,2003,PR
Benin,2,2003,CL
Benin,F,2003,Status
Benin,2,2004,PR
Benin,2,2004,CL
Benin,F,2004,Status
Benin,2,2005,PR
Benin,2,2005,CL
Benin,F,2005,Status
Benin,2,2006,PR
Benin,2,2006,CL
Benin,F,2006,Status
Benin,2,2007,PR
Benin,2,2007,CL
Benin,F,2007,Status
Benin,2,2008,PR
Benin,2,2008,CL
Benin,F,2008,Status
Benin,2,2009,PR
Benin,2,2009,CL
Benin,F,2009,Status
Benin,2,2010,PR
Benin,2,2010,CL
Benin,F,2010,Status
Benin,2,2011,PR
Benin,2,2011,CL
Benin,F,2011,Status
Benin,2,2012,PR
Benin,2,2012,CL
Benin,F,2012,Status
Benin,2,2013,PR
Benin,2,2013,CL
Benin,F,2013,Status
Benin,2,2014,PR
Benin,2,2014,CL
Benin,F,2014,Status
Botswana,2,2000,PR
Botswana,2,2000,CL
Botswana,F,2000,Status
Botswana,2,2001,PR
Botswana,2,2001,CL
