country,year,pr_score,cl_score,fh_status
Algeria,2000,6.0,5.0,NF
Algeria,2001,6.0,5.0,NF
Algeria,2002,6.0,5.0,NF
Algeria,2003,6.0,5.0,NF
Algeria,2004,6.0,5.0,NF
Algeria,2005,6.0,5.0,NF
Algeria,2006,6.0,5.0,NF
Algeria,2007,6.0,5.0,NF
Algeria,2008,6.0,5.0,NF
Algeria,2009,6.0,5.0,NF
Algeria,2010,6.0,5.0,NF
Algeria,2011,6.0,5.0,NF
Algeria,2012,6.0,5.0,NF
Algeria,2013,6.0,5.0,NF
Algeria,2014,6.0,5.0,NF
Angola,2000,6.0,6.0,NF
Angola,2001,6.0,6.0,NF
Angola,2002,6.0,5.0,NF
Angola,2003,6.0,5.0,NF
Angola,2004,6.0,5.0,NF
Angola,2005,6.0,5.0,NF
Angola,2006,6.0,5.0,NF
Angola,2007,6.0,5.0,NF
Angola,2008,6.0,5.0,NF
Angola,2009,6.0,5.0,NF
Angola,2010,6.0,5.0,NF
Angola,2011,6.0,5.0,NF
Angola,2012,6.0,5.0,NF
Angola,2013,6.0,5.0,NF
Angola,2014,6.0,5.0,NF
Bahrain,2000,7.0,6.0,NF
Bahrain,2001,6.0,5.0,NF
Bahrain,2002,5.0,5.0,PF
Bahrain,2003,5.0,5.0,PF
Bahrain,2004,5.0,5.0,PF
Bahrain,2005,5.0,5.0,PF
Bahrain,2006,5.0,5.0,PF
Bahrain,2007,5.0,5.0,PF
Bahrain,2008,5.0,5.0,PF
Bahrain,2009,6.0,5.0,NF
Bahrain,2010,6.0,5.0,NF
Bahrain,2011,6.0,6.0,NF
Bahrain,2012,6.0,6.0,NF
Bahrain,2013,6.0,6.0,NF
Bahrain,2014,7.0,6.0,NF
Benin,2000,2.0,2.0,F
Benin,2001,3.0,2.0,F
Benin,2002,3.0,2.0,F
Benin,2003,2.0,2.0,F
Benin,2004,2.0,2.0,F
Benin,2005,2.0,2.0,F
Benin,2006,2.0,2.0,F
Benin,2007,2.0,2.0,F
Benin,2008,2.0,2.0,F
Benin,2009,2.0,2.0,F
Benin,2010,2.0,2.0,F
Benin,2011,2.0,2.0,F
Benin,2012,2.0,2.0,F
Benin,2013,2.0,2.0,F
Benin,2014,2.0,2.0,F
Botswana,2000,2.0,2.0,F
Botswana,2001,2.0,2.0,F
Botswana,2002,2.0,2.0,F
Botswana,2003,2.0,2.0,F
Botswana,2004,2.0,2.0,F
Botswana,2005,2.0,2.0,F
Botswana,2006,2.0,2.0,F
Botswana,2007,2.0,2.0,F
Botswana,2008,2.0,2.0,F
Botswana,2009,3.0,2.0,F
Botswana,2010,3.0,2.0,F
Botswana,2011,3.0,2.0,F
Botswana,2012,3.0,2.0,F
Botswana,2013,3.0,2.0,F
Botswana,2014,3.0,2.0,F
Burkina Faso,2000,4.0,4.0,PF
Burkina Faso,2001,4.0,4.0,PF
Burkina Faso,2002,4.0,4.0,PF
Burkina Faso,2003,4.0,4.0,PF
Burkina Faso,2004,5.0,4.0,PF
Burkina Faso,2005,5.0,3.0,PF
Burkina Faso,2006,5.0,3.0,PF
Burkina Faso,2007,5.0,3.0,PF
Burkina Faso,2008,5.0,3.0,PF
Burkina Faso,2009,5.0,3.0,PF
Burkina Faso,2010,5.0,3.0,PF
Burkina Faso,2011,5.0,3.0,PF
Burkina Faso,2012,5.0,3.0,PF
Burkina Faso,2013,5.0,3.0,PF
Burkina Faso,2014,6.0,3.0,PF
Burundi,2000,6.0,6.0,NF
Burundi,2001,6.0,6.0,NF
Burundi,2002,6.0,5.0,NF
Burundi,2003,5.0,5.0,PF
Burundi,2004,5.0,5.0,PF
Burundi,2005,3.0,5.0,PF
Burundi,2006,4.0,5.0,PF
Burundi,2007,4.0,5.0,PF
Burundi,2008,4.0,5.0,PF
Burundi,2009,4.0,5.0,PF
Burundi,2010,5.0,5.0,PF
Burundi,2011,5.0,5.0,PF
Burundi,2012,5.0,5.0,PF
Burundi,2013,5.0,5.0,PF
Burundi,2014,6.0,5.0,NF
Cameroon,2000,7.0,6.0,NF
Cameroon,2001,6.0,6.0,NF
Cameroon,2002,6.0,6.0,NF
Cameroon,2003,6.0,6.0,NF
Cameroon,2004,6.0,6.0,NF
Cameroon,2005,6.0,6.0,NF
Cameroon,2006,6.0,6.0,NF
Cameroon,2007,6.0,6.0,NF
Cameroon,2008,6.0,6.0,NF
Cameroon,2009,6.0,6.0,NF
Cameroon,2010,6.0,6.0,NF
Cameroon,2011,6.0,6.0,NF
Cameroon,2012,6.0,6.0,NF
Cameroon,2013,6.0,6.0,NF
Cameroon,2014,6.0,6.0,NF
Cape Verde,2000,1.0,2.0,F
Cape Verde,2001,1.0,2.0,F
Cape Verde,2002,1.0,2.0,F
Cape Verde,2003,1.0,1.0,F
Cape Verde,2004,1.0,1.0,F
Cape Verde,2005,1.0,1.0,F
Cape Verde,2006,1.0,1.0,F
Cape Verde,2007,1.0,1.0,F
Cape Verde,2008,1.0,1.0,F
Cape Verde,2009,1.0,1.0,F
Cape Verde,2010,1.0,1.0,F
Cape Verde,2011,1.0,1.0,F
Cape Verde,2012,1.0,1.0,F
Cape Verde,2013,1.0,1.0,F
Cape Verde,2014,1.0,1.0,F
Central African Republic,2000,3.0,4.0,PF
Central African Republic,2001,5.0,5.0,PF
Central African Republic,2002,5.0,5.0,PF
Central African Republic,2003,7.0,5.0,NF
Central African Republic,2004,6.0,5.0,NF
Central African Republic,2005,5.0,4.0,PF
Central African Republic,2006,5.0,4.0,PF
Central African Republic,2007,5.0,5.0,PF
Central African Republic,2008,5.0,5.0,PF
