Country Name,2014
Angola,26941779
United Arab Emirates,9214175
Burundi,9844297
Benin,10286842
Burkina Faso,17586017
Bahrain,1336075
Botswana,2088614
Central African Republic,4464175
Cote d'Ivoire,22647683
Cameroon,22681858
"Congo, Dem. Rep.",73767447
"Congo, Rep.",4736974
Comoros,759390
Cabo Verde,518269
Djibouti,898696
Algeria,38923687
"Egypt, Arab Rep.",90424654
Eritrea,4475000
Ethiopia,98094253
Gabon,1883800
Ghana,27224472
Guinea,11150977
"Gambia, The",2024042
Guinea-Bissau,1692439
Equatorial Guinea,1122276
"Iran, Islamic Rep.",77465753
Iraq,34411951
Israel,8215700
Jordan,8920049
Kenya,46699981
Kuwait,3690942
Lebanon,6262410
Liberia,4359505
Libya,6362037
Lesotho,2043437
Morocco,34192347
Madagascar,23589887
Mali,16934220
Mozambique,26286163
Mauritania,3930896
Mauritius,1260934
Malawi,16289540
Namibia,2273430
Niger,19240157
Nigeria,176404902
Oman,4027260
West Bank and Gaza,4173398
Qatar,2459198
Rwanda,11083635
Saudi Arabia,30916994
Sudan,37977655
Senegal,14174731
Sierra Leone,7017144
Somalia,13423576
South Sudan,10554883
Sao Tome and Principe,195727
Eswatini,1095021
Syrian Arab Republic,18715672
Chad,13663559
Togo,7137997
Tunisia,11063201
Turkey,77231907
Tanzania,49959822
Uganda,36912148
"Yemen, Rep.",25823485
South Africa,54545991
Zambia,15399753
Zimbabwe,13586681
