country,year,hdi
Algeria,2000,0.6459999999999999
Algeria,2001,0.655
Algeria,2002,0.6659999999999999
Algeria,2003,0.6759999999999999
Algeria,2004,0.685
Algeria,2005,0.6940000000000001
Algeria,2006,0.6990000000000001
Algeria,2007,0.708
Algeria,2008,0.711
Algeria,2009,0.72
Algeria,2010,0.73
Algeria,2011,0.738
Algeria,2012,0.737
Algeria,2013,0.746
Algeria,2014,0.7490000000000001
Angola,2000,0.394
Angola,2001,0.404
Angola,2002,0.419
Angola,2003,0.428
Angola,2004,0.44
Angola,2005,0.453
Angola,2006,0.466
Angola,2007,0.482
Angola,2008,0.494
Angola,2009,0.508
Angola,2010,0.51
Angola,2011,0.525
Angola,2012,0.537
Angola,2013,0.547
Angola,2014,0.557
Bahrain,2000,0.792
Bahrain,2001,0.792
Bahrain,2002,0.792
Bahrain,2003,0.7929999999999999
Bahrain,2004,0.792
Bahrain,2005,0.792
Bahrain,2006,0.7929999999999999
Bahrain,2007,0.7959999999999999
Bahrain,2008,0.7959999999999999
Bahrain,2009,0.794
Bahrain,2010,0.7959999999999999
Bahrain,2011,0.7979999999999999
Bahrain,2012,0.8
Bahrain,2013,0.807
Bahrain,2014,0.81
Benin,2000,0.398
Benin,2001,0.41
Benin,2002,0.419
Benin,2003,0.426
Benin,2004,0.434
Benin,2005,0.44
Benin,2006,0.447
Benin,2007,0.455
Benin,2008,0.462
Benin,2009,0.468
Benin,2010,0.473
Benin,2011,0.479
Benin,2012,0.489
Benin,2013,0.5
Benin,2014,0.505
Botswana,2000,0.578
Botswana,2001,0.58
Botswana,2002,0.5760000000000001
Botswana,2003,0.583
Botswana,2004,0.589
Botswana,2005,0.598
Botswana,2006,0.612
Botswana,2007,0.625
Botswana,2008,0.638
Botswana,2009,0.647
Botswana,2010,0.66
Botswana,2011,0.6759999999999999
Botswana,2012,0.687
Botswana,2013,0.6990000000000001
Botswana,2014,0.7090000000000001
Burkina Faso,2000,0.28600000000000003
Burkina Faso,2001,0.29
Burkina Faso,2002,0.29600000000000004
Burkina Faso,2003,0.303
Burkina Faso,2004,0.312
Burkina Faso,2005,0.324
Burkina Faso,2006,0.333
Burkina Faso,2007,0.344
Burkina Faso,2008,0.35700000000000004
Burkina Faso,2009,0.366
Burkina Faso,2010,0.375
Burkina Faso,2011,0.385
Burkina Faso,2012,0.394
Burkina Faso,2013,0.401
Burkina Faso,2014,0.405
Burundi,2000,0.293
Burundi,2001,0.294
Burundi,2002,0.304
Burundi,2003,0.312
Burundi,2004,0.322
Burundi,2005,0.329
Burundi,2006,0.35100000000000003
Burundi,2007,0.363
Burundi,2008,0.375
Burundi,2009,0.391
Burundi,2010,0.402
Burundi,2011,0.41
Burundi,2012,0.416
Burundi,2013,0.422
Burundi,2014,0.429
Cabo Verde,2000,0.564
Cabo Verde,2001,0.5660000000000001
Cabo Verde,2002,0.5760000000000001
Cabo Verde,2003,0.58
Cabo Verde,2004,0.586
Cabo Verde,2005,0.5920000000000001
Cabo Verde,2006,0.606
Cabo Verde,2007,0.615
Cabo Verde,2008,0.622
Cabo Verde,2009,0.623
Cabo Verde,2010,0.626
Cabo Verde,2011,0.633
Cabo Verde,2012,0.634
Cabo Verde,2013,0.6409999999999999
Cabo Verde,2014,0.6409999999999999
Cameroon,2000,0.439
Cameroon,2001,0.455
Cameroon,2002,0.457
Cameroon,2003,0.463
Cameroon,2004,0.468
Cameroon,2005,0.469
Cameroon,2006,0.47
Cameroon,2007,0.481
Cameroon,2008,0.489
Cameroon,2009,0.4970000000000001
Cameroon,2010,0.471
Cameroon,2011,0.513
Cameroon,2012,0.524
Cameroon,2013,0.531
